Email_ID,Sender_Email,Subject_Line,Message-Content,Date,Priority,Attachments,Links_Count,Target_Label,Version
5be99c52-a02e-4b7a-b0d1-8452fca6c628,user188@example.com,Subject 0,Meeting at 5pm? Let me know.,04/23/2026,N/A,0,100,s_p_a_m,v1.0
438ad714-dd01-4b28-82f5-14412ad84010,user472@example.com,Subject 1,Attached is the invoice for last month.,2025-07-17T20:05:05.314597,N/A,null,100,1,v1.0
0587736d-16ef-4541-b87b-b550e6690346,user461@example.com,Subject 2,"<div>Free money!!! Just click <b>&nbsp;this link&nbsp;</b></div><br><p>Best regards,</p>",03-02-2026,High,2,1,Legit,v1.0
01b1f887-1635-43db-badf-2d118d6f39f0,user170@example.com,Subject 3,"Cheap meds, no prescription needed!!!",26-11-2025,N/A,0,1,spam,v1.0
8cac0e27-b7fa-4a2e-bff9-b445f95282b1,user849@example.com,Subject 4,Free money!!! Just click <b>&nbsp;this link&nbsp;</b>,04/30/2026,N/A,0,5,s_p_a_m,v1.0
3b3cfa30-5282-448b-86a3-094e2cc79d14,user575@example.com,Subject 5,Free money!!! Just click <b>&nbsp;this link&nbsp;</b>,1767319505,Medium,-1,1,s_p_a_m,v1.0
bfb574c5-6c59-4c07-8e66-a10ea2ddc8f2,user389@example.com,Subject 6,How have you been? It has been a long time.,1753664705,Medium,1,100,s_p_a_m,v1.0
b03ffd10-0426-4457-a609-4e4f462507a2,user204@example.com,Subject 7,"Cheap meds, no prescription needed!!!",11/08/2025,null,None,5,spam,v1.0
6919d3d5-5ee3-438c-9f78-4e1b39a847c6,user45@example.com,Subject 8,"<div>Hello, we are interested in your profile.</div><br><p>Best regards,</p>",1764554705,High,2,0,spam,v1.0
455db0c2-b939-4119-89a2-44e669be63c2,user567@example.com,Subject 9,"Cheap meds, no prescription needed!!!",25-03-2026,N/A,0,5,s_p_a_m,v1.0
0d81c1dc-41d3-4e32-a727-dd0a91c4365b,user349@example.com,Subject 10,"<div>How have you been? It has been a long time.</div><br><p>Best regards,</p>",1765591505,Urgent!,null,5,SPAM,v1.0
2f6705c5-9d66-4eee-868c-c4e043edbe63,user765@example.com,Subject 11,¡Urgente! Necesitamos su respuesta inmediata.,1767837905,Urgent!,-1,100,1,v1.0
87fffa86-7db7-4825-9335-f824b45ab3c1,user135@example.com,Subject 12,WINNER! Claim your prize now at <a href='http://malware.com'>here</a>,19-10-2025,Urgent!,null,5,ham,v1.0
39667fd9-45b5-470b-a63d-1bace21529b4,user174@example.com,Subject 13,"<div>¡Urgente! Necesitamos su respuesta inmediata.</div><br><p>Best regards,</p>",2025-10-25T20:05:05.314725,null,-1,100,spam,v1.0
d8b66bf6-b17c-4d96-95d1-33ffa92fdcac,user615@example.com,Subject 14,Attached is the invoice for last month.,11/21/2025,Medium,1,0,Legit,v1.0
a8e957e0-f0de-4499-a47b-bf5927182f2c,user661@example.com,Subject 15,"<div>WINNER! Claim your prize now at <a href='http://malware.com'>here</a></div><br><p>Best regards,</p>",09-07-2025,Urgent!,None,1,0,v1.0
256dcad8-6bfd-4e40-af31-a3a98d15ff02,user258@example.com,Subject 16,Free money!!! Just click <b>&nbsp;this link&nbsp;</b>,03/25/2026,Urgent!,2,1,1,v1.0
a6f5e4dc-4288-4e48-93c5-54a95920a9f9,user994@example.com,Subject 17,Meeting at 5pm? Let me know.,09/07/2025,Medium,null,1,SPAM,v1.0
adbb570e-d137-4904-9ca0-0118d63f5803,user755@example.com,Subject 18,"<div>Attached is the invoice for last month.</div><br><p>Best regards,</p>",12/15/2025,High,null,100,s_p_a_m,v1.0
98eb93b5-2b6d-45f8-b0ee-a80d4c939c8f,user177@example.com,Subject 19,"Hello, we are interested in your profile.",07/25/2025,null,0,10,ham,v1.0
5d4de1d4-e29a-4964-9835-e0a4283ff052,user275@example.com,Subject 20,"Bonjour, voici les documents demandés.",02-05-2025,Low,0,5,1,v1.0
5874deda-58dc-46f0-b6de-6273b7984701,user825@example.com,Subject 21,"<div>Free money!!! Just click <b>&nbsp;this link&nbsp;</b></div><br><p>Best regards,</p>",17-11-2025,High,2,10,0,v1.0
d90ef4e8-1ea5-4531-add3-d694169a085d,user545@example.com,Subject 22,"<div>¡Urgente! Necesitamos su respuesta inmediata.</div><br><p>Best regards,</p>",1755392705,N/A,1,10,Legit,v1.0
88551c4a-2b42-4193-9abf-e1974b249ca1,user83@example.com,Subject 23,Free money!!! Just click <b>&nbsp;this link&nbsp;</b>,07-08-2025,Medium,-1,10,Legit,v1.0
b67f7a33-4062-43ef-a4cc-beb21b50891c,user100@example.com,Subject 24,"<div>Free money!!! Just click <b>&nbsp;this link&nbsp;</b></div><br><p>Best regards,</p>",22-03-2026,Low,None,5,spam,v1.0
dddf25a9-55a9-49e3-8b72-cd952db892b5,user566@example.com,Subject 25,"Cheap meds, no prescription needed!!!",16-02-2026,Medium,2,5,s_p_a_m,v1.0
37c1de20-3ef9-4814-ab28-cad018f5ea89,user974@example.com,Subject 26,"Hello, we are interested in your profile.",09/28/2025,Medium,-1,100,spam,v1.0
2513a7e1-4d31-4547-b0a8-735a560aebd8,user909@example.com,Subject 27,Meeting at 5pm? Let me know.,12/23/2025,N/A,-1,100,spam,v1.0
53c22893-af99-4602-a08c-47b2755947f1,user23@example.com,Subject 28,"<div>How have you been? It has been a long time.</div><br><p>Best regards,</p>",2025-11-08T20:05:05.314815,Low,null,5,s_p_a_m,v1.0
2dc155ee-a0cd-4279-9f77-848e37dff9c0,user488@example.com,Subject 29,How have you been? It has been a long time.,2026-01-19T20:05:05.314820,Low,0,1,s_p_a_m,v1.0
